"oa_source_id","prop_np_mean","prop_np_sd","prop_fp_mean","prop_fp_sd","prop_np_found_mean","prop_np_found_sd","prop_fp_found_mean","prop_fp_found_sd","prop_nadafnee_mean","prop_nadafnee_sd","oa_source_name","journal","publisher_type","business_model","institution_type"
"https://openalex.org/S179032277",0.0822,0.0986,0.1333,0.1527,0.3203,0.4,0.4297,0.4373,0.7845,0.1589,"Cryptogamie Algologie","Cryptogamie Algologie","np","diamond_OA","Museum"
"https://openalex.org/S179963793",0.0651,0.0508,0.3561,0.1277,0.1554,0.1109,0.8446,0.1109,0.5788,0.1307,"Applied Vegetation Science","Applied Vegetation Science","fp","hybrid","Society"
"https://openalex.org/S182829932",0.194,0.1086,0.22,0.1236,0.4758,0.2182,0.5242,0.2182,0.5859,0.1503,"American Fern Journal","American Fern Journal","np","subscription","Society"
"https://openalex.org/S184316860",0.0337,0.0422,0.0713,0.0865,0.297,0.3145,0.5751,0.3673,0.895,0.1087,"Journal of Arid Land","Journal of Arid Land","fp","hybrid","Uni/Gov"
"https://openalex.org/S185825760",0.2508,0.1133,0.1875,0.1232,0.5834,0.2388,0.4166,0.2388,0.5616,0.1215,"Australian Journal of Zoology","Australian Journal of Zoology","np","hybrid","Uni/Gov"
"https://openalex.org/S18660344",0.1046,0.0833,0.2541,0.1257,0.2857,0.2229,0.7143,0.2229,0.6412,0.1381,"Fungal ecology","Fungal Ecology","fp","subscription","Society"
"https://openalex.org/S187344466",0.0734,0.0548,0.0999,0.088,0.4524,0.2908,0.5205,0.294,0.8268,0.1172,"Fungal Biology","Fungal Biology","fp","hybrid","Society"
"https://openalex.org/S188482970",0.2278,0.0766,0.2689,0.1225,0.4771,0.1703,0.5229,0.1703,0.5033,0.1378,"Ornithological Applications","Ornithological Applications","np","hybrid","Society"
"https://openalex.org/S188770946",0.0737,0.0524,0.2008,0.1135,0.284,0.1892,0.6985,0.2078,0.7255,0.1358,"Mycologia","Mycologia","fp","subscription","Society"
"https://openalex.org/S190005928",0.2582,0.0978,0.0883,0.0651,0.7546,0.1331,0.2454,0.1331,0.6535,0.1252,"Invertebrate Systematics","Invertebrate Systematics","np","hybrid","Uni/Gov"
"https://openalex.org/S190011727",0.1748,0.0857,0.0952,0.0509,0.6269,0.1849,0.3731,0.1849,0.73,0.1059,"Organisms Diversity & Evolution","Organisms Diversity & Evolution","fp","hybrid","Society"
"https://openalex.org/S190575794",0.3889,NA,0.0556,NA,0.875,NA,0.125,NA,0.5556,NA,"Zoological studies","Zoological Studies","np","diamond_OA","Uni/Gov"
"https://openalex.org/S191257319",0.0969,0.063,0.2788,0.1357,0.264,0.1619,0.736,0.1619,0.6243,0.1475,"Restoration Ecology","Restoration Ecology","fp","hybrid","Society"
"https://openalex.org/S191597982",0.0637,0.0782,0.0953,0.0817,0.3433,0.3219,0.5788,0.3496,0.841,0.1152,"Journal of Coastal Conservation","Journal of Coastal Conservation","fp","hybrid","Non-profit"
"https://openalex.org/S191717031",0.1926,0.0954,0.1749,0.1048,0.5465,0.2252,0.4535,0.2252,0.6325,0.1445,"Systematic Botany","Systematic Botany","np","hybrid","Society"
"https://openalex.org/S193683933",0.1471,0.0683,0.1568,0.1402,0.5263,0.1986,0.4737,0.1986,0.6961,0.1621,"Annales Zoologici Fennici","Annales Zoologici Fennici","np","hybrid","Uni/Gov"
"https://openalex.org/S194129668",0.185,0.0697,0.2273,0.1111,0.4655,0.1593,0.5345,0.1593,0.5877,0.1193,"Bird Conservation International","Bird Conservation International","np","hybrid","Non-profit"
"https://openalex.org/S194236184",0.1288,0.082,0.2317,0.1194,0.3507,0.1692,0.6493,0.1692,0.6395,0.171,"Urban Ecosystems","Urban Ecosystems","fp","hybrid","Society"
"https://openalex.org/S194652459",0.2394,0.1281,0.1811,0.0844,0.5621,0.192,0.4379,0.192,0.5795,0.1222,"New Zealand Journal of Ecology","New Zealand Journal of Ecology","np","OA","Society"
"https://openalex.org/S194752149",0.1041,0.0657,0.2865,0.1417,0.2831,0.1658,0.7169,0.1658,0.6094,0.1459,"American Journal of Primatology","American Journal of Primatology","fp","subscription","Society"
"https://openalex.org/S196799759",0.1734,0.1145,0.0299,0.0404,0.8579,0.1701,0.1421,0.1701,0.7967,0.121,"Microbiology","Microbiology","np","hybrid","Society"
"https://openalex.org/S197402693",0.2474,0.0955,0.2275,0.0985,0.5239,0.1536,0.4761,0.1536,0.5252,0.1191,"Journal of Field Ornithology","Journal of Field Ornithology","fp","hybrid","Society"
"https://openalex.org/S197406704",0.2359,0.0954,0.1166,0.0855,0.6989,0.2042,0.3011,0.2042,0.6475,0.1324,"The Canadian Entomologist","Canadian Entomologist","np","hybrid","Society"
"https://openalex.org/S197671267",0.2614,0.1021,0.2775,0.1233,0.5063,0.1769,0.4937,0.1769,0.4611,0.1518,"Ardea","Ardea","np","hybrid","Society"
"https://openalex.org/S199286587",0.1523,0.0918,0.2098,0.0954,0.414,0.1905,0.586,0.1905,0.6379,0.1211,"Marine Mammal Science","Marine Mammal Science","fp","hybrid","Society"
"https://openalex.org/S199296737",0.1653,0.1037,0.3832,0.1679,0.3117,0.1765,0.6883,0.1765,0.4515,0.1538,"Bird Study","Bird Study","fp","subscription","Non-profit"
"https://openalex.org/S200038611",0.1842,0.1124,0.1245,0.0923,0.6054,0.2192,0.3897,0.2167,0.6913,0.1333,"ICES Journal of Marine Science","ICES Journal of Marine Science","np","OA","Society"
"https://openalex.org/S200472310",0.1057,0.1573,0.1798,0.1323,0.2307,0.2891,0.6264,0.3867,0.7145,0.2059,"Cryptogamie Bryologie","Cryptogamie Bryologie","np","diamond_OA","Museum"
"https://openalex.org/S200794352",0.17,0.0853,0.3397,0.1117,0.3328,0.1463,0.6672,0.1463,0.4903,0.1203,"Oikos","Oikos","fp","hybrid","Society"
"https://openalex.org/S201386569",0.1702,0.0679,0.3177,0.1228,0.3627,0.1478,0.6373,0.1478,0.5121,0.1339,"Ecological Monographs","Ecological Monographs","fp","hybrid","Society"
"https://openalex.org/S202303835",0.1332,0.1842,0.0503,0.1041,0.3704,0.4843,0.1852,0.3768,0.8166,0.1997,"Amphibia-Reptilia","Amphibia-Reptilia","fp","hybrid","Society"
